qid1	qid2
43345	43346
299890	4507
111905	25820
166095	166096
32422	70278
13756	178040
145013	29874
387498	387499
526973	526974
408687	85238
31337	31338
36668	48942
3663	7295
82964	82965
249343	266156
46473	89486
299045	299046
34261	34262
194480	81759
40583	59284
98201	98202
374007	374008
142328	55039
22064	2265
37318	6679
362986	407036
155914	240652
394269	394270
156452	77832
10794	10795
36473	72553
14333	7411
205626	45071
258694	92739
67593	9917
100806	111905
115459	14695
101795	8848
372	48722
174424	174425
120209	53296
35932	75917
2879	29028
294219	377233
177990	447073
146287	84086
229918	28370
133051	37237
166720	206380
295360	514716
113596	61549
232823	232824
119303	297678
191817	87182
19274	27786
129972	9849
114006	470644
188019	500415
163624	60504
46666	71673
18420	63168
16356	62105
150879	28412
10562	7708
134237	14927
259519	81027
145012	19254
131268	137961
516558	6674
53120	62741
60781	6929
259519	82022
137217	32423
21231	55083
140195	397112
106997	123836
324886	324887
149680	149681
185774	33833
111301	43784
20868	233674
43358	64170
136506	162098
42017	44023
105172	40999
123394	93259
6577	95350
161231	63179
367078	367079
227689	42397
133426	36806
19158	213440
441518	9522
109936	342423
105997	113162
103198	103199
19339	19340
55263	58038
252476	72439
94530	94531
42597	55345
133196	87684
28443	48099
150648	272831
148050	485442
325687	51899
2985	40753
254281	33427
187083	187084
217438	397227
10321	65109
10795	459173
249216	60179
191388	464218
18935	27591
172424	208269
147540	64192
491086	52138
60557	80440
207464	207465
19500	81027
2025	36297
403873	403874
192635	24163
1717	1718
166961	69958
490362	514475
135988	86600
15730	55083
35239	65401
134014	54686
282700	298674
153776	31309
32973	407078
3663	58690
1375	69862
43097	71824
35075	56258
20837	43369
265197	312643
182215	5632
247746	418302
175831	61682
239511	239512
1214	7060
254440	279641
22680	87182
394196	394197
38823	38824
270468	314691
43544	44317
105313	429711
113274	356165
251375	25376
293769	293770
24735	65693
23697	331461
237043	87109
170110	55083
413706	53648
267072	7547
27379	50007
239211	97592
150179	217786
35032	49732
186794	42845
185509	49717
522134	522135
146730	44317
142825	1933
62741	6275
319757	354555
291994	361688
41598	9172
286664	450255
494177	494178
272073	47792
13131	477715
11397	27636
71508	74097
390633	390634
23697	9072
2985	8885
64335	7975
30475	82229
232017	67141
11013	68206
25673	264198
156383	179724
147475	2489
18490	5158
160119	20661
307589	307590
347926	70552
6054	91973
25160	91844
34190	34455
121509	60503
15837	16638
30554	386010
107053	55745
253659	78943
19178	232771
2322	343976
43856	53631
63240	63241
131742	229448
42853	56148
524688	524689
46047	64428
153230	277033
12301	12302
369863	64420
1171	49223
113929	158200
23047	279330
204251	204252
249470	377234
155978	155979
21839	70760
252477	4307
20940	8867
30835	89196
38094	49350
274316	61027
142658	406811
500672	64953
153987	33887
351041	479698
185328	217391
11457	376720
323799	39819
62363	62364
15408	57441
46047	71509
26799	45018
162433	39628
5044	6804
69033	88700
3374	3857
511487	511488
127700	127701
127757	7928
40046	65693
164718	81975
3596	74655
4044	40982
179879	38358
414410	414411
403435	403436
164058	164059
121521	217196
17191	5775
125452	229050
64259	85227
138441	158117
413716	413717
113043	271891
111788	79301
41655	517471
127660	266448
135463	52522
400272	400273
155233	229136
522159	522160
194532	22144
270447	270448
267056	431995
27459	5656
