qid1	qid2
11	12
15	16
23	24
25	26
25	114035
26	114035
27	28
27	6201
27	6202
27	20948
27	20949
27	21355
27	21356
27	24570
27	24571
27	27899
27	30388
27	30389
27	34654
27	40353
27	44704
27	50277
27	52883
27	52884
27	59657
27	63417
27	63418
27	70550
27	91408
27	111726
27	111727
27	120515
27	133351
27	165744
27	178234
27	195751
27	226437
27	470401
27	472920
27	519783
28	6201
28	6202
28	20948
28	20949
28	21355
28	21356
28	24570
28	24571
28	27899
28	30388
28	30389
28	34654
28	40353
28	44704
28	50277
28	52883
28	52884
28	59657
28	63417
28	63418
28	70550
28	91408
28	111726
28	111727
28	120515
28	133351
28	165744
28	178234
28	195751
28	226437
28	470401
28	472920
28	519783
31	32
31	1100
31	1101
31	2066
31	2067
31	6079
31	6080
31	6937
31	6938
31	7751
31	7752
31	8577
31	8578
31	11434
31	11435
31	12544
31	16474
31	17171
31	24203
31	24204
31	24960
31	32509
31	32957
31	36835
31	36836
31	37617
31	38502
31	44686
31	46127
31	51528
31	53535
31	64848
31	77287
31	81385
31	83195
31	88834
31	93145
31	93146
31	100431
31	106091
31	120229
31	132922
31	140488
31	140581
31	167907
31	218253
31	221900
31	249733
31	258354
31	333813
31	358965
31	528360
32	1100
32	1101
32	2066
32	2067
32	6079
32	6080
32	6937
32	6938
32	7751
32	7752
32	8577
32	8578
32	11434
32	11435
32	12544
32	16474
32	17171
32	24203
32	24204
32	24960
32	32509
32	32957
32	36835
32	36836
32	37617
32	38502
32	44686
32	46127
32	51528
32	53535
32	64848
32	77287
32	81385
32	83195
32	88834
32	93145
32	93146
32	100431
32	106091
32	120229
32	132922
32	140488
32	140581
32	167907
32	218253
32	221900
32	249733
32	258354
32	333813
32	358965
32	528360
33	34
37	38
37	1357
37	1358
37	2374
37	2375
37	4407
37	4408
37	4950
37	4951
37	5041
37	5042
37	6551
37	6552
37	10957
37	10958
37	12638
37	12639
37	14772
37	17258
37	17259
37	17506
37	17507
37	17811
37	17812
37	17854
37	18276
37	18277
37	18296
37	18629
37	19621
37	19789
37	20096
37	20128
37	21374
37	21712
37	21713
37	22873
37	26053
37	26054
37	26184
37	26185
37	27517
37	28236
37	28639
37	29331
37	31868
37	32032
37	32200
37	33412
37	35498
37	37698
37	38315
37	42108
37	43745
37	44331
37	47020
37	47485
37	48053
37	50856
37	54749
37	59367
37	61018
37	61999
37	62000
37	67545
37	69550
37	82345
37	88660
37	96383
37	107900
37	107901
37	126808
37	299458
37	314002
37	362592
38	1357
38	1358
38	2374
38	2375
38	4407
38	4408
38	4950
38	4951
38	5041
38	5042
38	6551
38	6552
38	10957
38	10958
38	12638
38	12639
38	14772
38	17258
38	17259
38	17506
38	17507
38	17811
38	17812
38	17854
38	18276
38	18277
38	18296
38	18629
38	19621
38	19789
38	20096
38	20128
38	21374
38	21712
38	21713
38	22873
38	26053
38	26054
38	26184
38	26185
